exec_id,cl_ord_id,symbol,side,fill_qty,fill_price,transact_time,venue
12b9857d-2430-4e75-bf28-2fb1694f7095,8243deef-802b-4810-bb87-a5d81309727f,MSFT,1,200,373.29,2026-02-17 09:30:01.317000,NYSE
e4b00e6e-3876-4224-b16d-bb72e0aa73ec,d80e29be-dc82-4df3-ad14-50003f73d0da,GOOGL,2,2500,140.17,2026-02-17 09:32:05.406000,NYSE
630b237f-6a6d-4daf-857b-efd78c116711,53934e6d-d6ee-44fe-a12b-85ee6a70e917,SPY,2,200,448.89,2026-02-17 09:32:15.218000,ARCA
259d4944-2d84-4861-95a9-348c424a996a,72c85392-60d7-4e44-88f0-a6fa8e999d19,GOOGL,1,100,140.08,2026-02-17 09:32:26.260000,NASDAQ
24c087b0-6d0b-4f5b-ad2a-85166a4490c1,71339d90-88d2-4636-b698-c1b483d8ec6a,QQQ,1,2500,379.73,2026-02-17 09:32:53.242000,ARCA
ae583f2f-c7aa-4766-871a-81c44d4c9102,50a4eef2-836e-48c5-abcb-6164d82fcfc3,AAPL,2,2500,175.05,2026-02-17 09:33:19.349000,NYSE
3ba3cd4c-3a4a-46cb-b392-ecbd6d587453,944f9d51-57dd-4c25-986d-dd8b2df519c0,META,1,2500,497.78,2026-02-17 09:33:34.090000,NASDAQ
89f36ed7-d452-43f9-8193-0f58d027831e,3fa6b120-0204-44c2-ad4e-c14557a47961,GOOGL,1,200,140.24,2026-02-17 09:34:31.046000,NASDAQ
78abba85-a4af-43d3-8ee0-c926dd35db0a,5b9334bd-031e-4d39-b369-9ac6d36f496a,TSLA,2,200,249.59,2026-02-17 09:34:34.224000,ARCA
fe991eaa-0834-4220-a012-5acb54b4aec3,5f28c70a-4f5b-4730-b2a2-2703d45b35c4,AMZN,2,1000,174.18,2026-02-17 09:34:48.027000,NYSE
a439ef5d-4a96-49fc-8c08-ee3ee8532c41,201f886f-c610-463a-ac48-990724c5d922,SPY,1,500,450.98,2026-02-17 09:35:09.248000,CBOE
ca4fceb6-5ca2-4fa6-a8ef-a23cf3e1c7f1,81607485-5b27-4c6e-9a2d-35aed77f21a5,GOOGL,1,500,140.33,2026-02-17 09:35:35.291000,CBOE
f3904c21-8df0-41ae-868f-20defdf42b3c,03e19f22-c182-491b-a187-485ea24340cb,QQQ,2,2500,378.63,2026-02-17 09:36:16.235000,NASDAQ
50a93e2b-d9ac-47c7-8aff-93dbb89a1e66,9c4639f4-aa1b-4924-819d-efa73db65c0b,QQQ,2,100,379.42,2026-02-17 09:37:00.317000,ARCA
a3607305-2471-40bb-b012-eaca91000823,3d2a7beb-da48-406a-bb87-4875742243f3,AMZN,2,200,174.19,2026-02-17 09:37:28.193000,NASDAQ
97f51f19-d53a-4556-a3a4-748d8817de0f,e4bce624-59e0-4a3f-8437-3db238f412cf,TSLA,2,200,250.5,2026-02-17 09:37:42.385000,NASDAQ
a3e19fc9-62c5-436d-8c5c-b82a9b5e53d6,f738bddd-d2f5-4f55-bfd3-87e1d164f5bc,MSFT,1,100,374.96,2026-02-17 09:37:52.498000,NASDAQ
3a69f9af-f42f-462b-b3e9-66d0da42df96,ba7c7bf7-6442-46d9-b131-74aa9d9051b3,GOOGL,1,2500,139.76,2026-02-17 09:38:18.346000,NYSE
a16b5020-a0f0-4bd8-9324-35a5d6411dbf,8da7f994-26b3-4989-9b71-3bdd215eb575,MSFT,1,500,374.22,2026-02-17 09:38:43.357000,NASDAQ
c82e923e-109a-4ba0-b35b-9be3238c752e,42b0ed37-c5a6-4e4e-86d0-2a552f3a33fe,META,1,100,500.31,2026-02-17 09:38:46.225000,NASDAQ
011cfb9f-bfda-43b6-8cee-472c56387eb3,51400709-97ba-4593-b01b-d29a9082e1a7,AAPL,2,100,175.1,2026-02-17 09:40:15.467000,NASDAQ
cb8354a4-c1a8-4964-822e-b8b9d5893e58,020e3dc6-9302-494b-8111-171e0fdf5338,TSLA,1,500,249.19,2026-02-17 09:40:45.389000,CBOE
95f2af12-c609-45ca-9618-0d252848af2f,904efd4e-8f0f-4cb4-84fa-cd009acab790,META,2,200,500.78,2026-02-17 09:40:47.120000,NASDAQ
ed830d43-0afb-4c68-bd54-e8ed42609d23,55c6e811-fa7a-4504-a0df-a110b0ac192b,MSFT,1,1000,373.37,2026-02-17 09:40:50.377000,NYSE
f27cbc50-fd32-4acd-b254-c629ff9351e8,2ee3b5e2-910b-4c1d-b288-55752a135e8f,AMZN,1,500,175.13,2026-02-17 09:41:18.404000,CBOE
bc4eabc9-9705-4820-b75f-05c64a83ead3,c85ef567-79a0-4a0c-b04a-8b8327870f81,META,2,100,497.98,2026-02-17 09:41:50.468000,ARCA
547640ae-b272-4ba6-9c99-4628260add8c,b24d2f8c-136b-4b03-b205-890b4c8e87f1,QQQ,2,500,380.95,2026-02-17 09:42:13.294000,NASDAQ
fc9598cc-bdbb-4fc8-a390-9c741532e711,fce0b476-ad81-42d7-9f89-5f45f9de0034,META,2,100,499.51,2026-02-17 09:42:26.066000,NASDAQ
d7192c9c-29fb-4a43-920b-8d2eaa309954,61ed8e03-6301-411c-b1c1-3eccaa2a30b0,AMZN,1,2500,174.56,2026-02-17 09:42:33.266000,NASDAQ
d2307154-ad7a-44e8-8ae4-d9e6d091e87f,3ef01776-816a-401f-ad5c-18cbc0447db0,TSLA,1,1000,250.57,2026-02-17 09:42:34.162000,NASDAQ
0d039c82-a32a-49d3-aace-89d9a8f99b6f,59afebb7-fe21-4037-8033-e1fe170f6b36,GOOGL,2,1000,139.87,2026-02-17 09:43:05.236000,NASDAQ
99eb52f0-98fc-4b1c-bb9a-6fb830754416,205c6fff-0308-40d8-89fe-d4f821a2b8e6,AMZN,1,500,175.69,2026-02-17 09:43:36.359000,ARCA
7be13fd9-3001-45a4-a370-2be4a787b737,9c234beb-5c81-4c1e-81fb-de879e7867a7,AAPL,1,200,175.27,2026-02-17 09:43:58.097000,NYSE
a744fc2d-2636-44e1-a340-b7130938ae3c,6b166fa6-b99a-4d39-a7b7-e709be8bcf00,META,2,2500,501.95,2026-02-17 09:44:22.168000,CBOE
cfe60a1d-b676-459b-a81b-34a65ac5b208,11c04ad8-297e-4cec-a80b-5387fb2cc07b,QQQ,2,2500,380.81,2026-02-17 09:44:38.405000,CBOE
0cde2fd7-a013-4462-82ec-b579e11ff2b7,24a985c7-b9ce-4147-9bad-caaffc3c731e,TSLA,1,100,250.53,2026-02-17 09:45:05.138000,CBOE
15756977-a900-40cb-8c1b-1f7ab5c92112,e2953af7-3e85-401a-9feb-c0967218f3e0,SPY,1,100,452.1,2026-02-17 09:45:07.098000,ARCA
c020152f-5906-4446-ad98-fafbb5b314a1,d8aff068-94c6-494f-b9e7-16493a27236a,GOOGL,2,500,140.42,2026-02-17 09:45:23.493000,CBOE
dd601ec1-1e34-45f6-b39e-39c34eca93a1,dce71225-0b18-4f2b-9220-7c96565f1cea,QQQ,2,2500,379.76,2026-02-17 09:45:48.348000,ARCA
6c1bc968-aee0-49ce-a276-2d2364502362,d62d8daf-baa1-44fb-8996-715c7cdc51c0,META,2,2500,501.72,2026-02-17 09:46:04.366000,CBOE
5c4ab587-f0cc-4d30-a24f-35f1f21c98ab,a0804c76-10fe-46d7-9cd4-915183c9cd45,META,1,500,500.48,2026-02-17 09:46:14.216000,CBOE
75898569-0cd3-41ca-a851-f2427c4be974,44e2e806-1cba-4392-ae6f-2b76951b29b3,GOOGL,1,100,139.84,2026-02-17 09:47:35.470000,CBOE
ecc0f593-fcbf-4ab1-8d63-476c06c0e259,fcb96464-c923-46f2-8e14-642906bf707a,MSFT,1,200,373.83,2026-02-17 09:48:08.444000,CBOE
73bff5a4-c127-415a-b0fd-f76d6d0d5967,116eda0f-5fb4-407c-aa9c-877c63700410,TSLA,2,1000,250.19,2026-02-17 09:48:29.206000,NASDAQ
ce258f2f-28db-4fd8-985d-d520c53cee0a,6292bd63-e3c6-4aa6-809d-6345efa856cf,AMZN,1,2500,174.32,2026-02-17 09:48:52.476000,ARCA
ecb0ecaf-9a3c-4354-837d-6486cf7c2d4d,841e7aa0-7c57-44bd-acca-443e8f6bb612,TSLA,1,100,250.38,2026-02-17 09:49:43.129000,NYSE
cdb27b41-7610-44b8-b4f2-d4c7075b24fb,35aebf25-891f-4f34-bb9e-cb5c433ef95c,GOOGL,1,2500,140.28,2026-02-17 09:50:06.264000,CBOE
82dc1006-6a53-4ba5-9c06-f3c6c5da3ac9,1d14c8a3-eb43-4141-8da4-09ef216a103d,META,1,100,498.81,2026-02-17 09:50:22.498000,NASDAQ
25224c8b-3546-44d2-8d9f-70f6819003c5,41126e88-c565-4da5-b127-935e975e2fd7,GOOGL,1,2500,140.11,2026-02-17 09:51:05.428000,NYSE
7566eff7-4c72-4a9b-b42c-f9c78285d2b1,aac93d93-b6ad-4640-9b81-69020061101c,GOOGL,1,2500,140.23,2026-02-17 09:52:19.499000,ARCA
8e9f0def-fbc0-4051-a114-c3efa0324320,69199676-b51a-43ce-88ec-6864efae2983,MSFT,1,2500,376.18,2026-02-17 09:53:15.152000,NASDAQ
5af9fe77-7e92-4538-9b07-273883fa507e,2c1d2dea-10d0-4b9b-966f-d65e92299740,GOOGL,1,100,140.07,2026-02-17 09:53:33.060000,NYSE
1117cf77-83c5-4993-abed-a8d98483a6d9,6cee6163-15c8-4112-9cf1-aa1f9d8fcd78,AMZN,2,1000,174.79,2026-02-17 09:53:36.289000,ARCA
f87344be-18f6-47d9-8e0a-bd5ecedf935f,c33a6a61-1608-4b35-8849-b0b9e31585ae,MSFT,2,100,374.74,2026-02-17 09:54:09.308000,CBOE
caa1b641-7a8f-4b9f-924a-7b1306b38e39,3148cf16-f962-4c15-9bc2-63601596ee0e,AAPL,1,100,174.58,2026-02-17 09:54:20.113000,CBOE
dd8f210f-4183-45eb-b882-c2a29e087c85,e9572116-019b-4d59-b7b6-11d4e487f47d,QQQ,2,2500,378.86,2026-02-17 09:55:11.359000,NYSE
8827f892-c0c2-43ef-9fcb-010e2ac804d5,3ad29eaa-0410-425a-b3b2-0e1fadf284e6,AMZN,2,500,175.69,2026-02-17 09:55:11.461000,NASDAQ
029c4061-3b59-4c1b-a8c9-5703c9e95a6a,236f8b2e-84e0-48e7-a8a8-737aa2673c56,MSFT,2,100,373.4,2026-02-17 09:55:18.415000,NASDAQ
644f7f85-09b7-4a4e-ac5a-5b288041de0b,9432072f-3d7a-4c03-a5b8-d8a9955d24d8,SPY,1,2500,450.75,2026-02-17 09:55:45.471000,ARCA
cd74c728-9a99-4e9d-9d46-4e984a34fc62,d5c6b56b-782c-49e2-952a-4375ff8ddea6,QQQ,2,2500,379.89,2026-02-17 09:55:50.216000,NYSE
a616d624-4e87-46f4-8e19-136e355f2a03,996c448e-740f-42dc-b9d4-379a33ba1200,AAPL,1,1000,174.81,2026-02-17 09:55:55.442000,NYSE
1d25f762-2da9-4487-9b8c-44c1b9f68bd2,03c327b3-5579-47f6-acc2-e349da14f7f4,GOOGL,1,1000,139.76,2026-02-17 09:56:08.493000,NYSE
803f9216-2088-4d4e-ae4e-104339ee5cf7,fc7b65e4-b7f3-42d9-9562-60152745bb6f,AAPL,2,500,175.67,2026-02-17 09:56:17.452000,NASDAQ
82ba9989-760a-4eee-ad0a-54f10b79ae61,724031d2-bf39-4e14-b048-6cb14a70a114,QQQ,2,2500,379.54,2026-02-17 09:56:18.299000,NYSE
4ee58873-cfa6-4d46-9433-5b28da0d7bd9,e9502e00-bc63-4b4c-bda5-a51d9a300d2d,MSFT,1,500,376.03,2026-02-17 09:56:22.374000,CBOE
011af4bd-7733-43a6-b683-dab5f75e4ebc,eaffb9d3-5e84-41e3-a791-e09569287b6e,QQQ,2,500,381.74,2026-02-17 09:56:24.239000,NYSE
61f6e546-a407-4691-8279-70f0ec84f52a,5c3c4855-856d-4df2-8470-4c3d71f4fadf,MSFT,2,500,376.42,2026-02-17 09:57:25.264000,CBOE
2e9f40a9-3d8b-43f3-abdb-0fbf743b5738,03e19047-8975-4551-a32d-3cf3f0b07e6e,AMZN,1,1000,175.39,2026-02-17 09:57:56.484000,CBOE
937ac971-f4a9-4c79-a3d4-44879dd95a5c,dbdf4b24-2e15-4d35-945c-2f00df2edebb,GOOGL,2,200,139.46,2026-02-17 09:58:03.407000,CBOE
736582af-a421-42db-954a-095becd3217c,70f9a845-4e0b-4f00-802b-74bc6f8abf01,AAPL,2,100,174.16,2026-02-17 09:58:48.019000,NYSE
d33b0817-841e-4a21-9bef-d020ad1ef3c0,6d2976a9-35ab-4f8d-8ff8-ec1b201f3ae4,AMZN,1,2500,175.53,2026-02-17 09:58:53.332000,NASDAQ
